Date,Value
2018-09-30,97800.0
2018-08-31,99200.0
2018-07-31,99600.0
2018-06-30,99200.0
2018-05-31,99600.0
2018-04-30,99400.0
2018-03-31,97600.0
2018-02-28,94500.0
2018-01-31,92000.0
2017-12-31,92300.0
2017-11-30,93300.0
2017-10-31,95300.0
2017-09-30,97900.0
2017-08-31,97500.0
2017-07-31,94600.0
2017-06-30,94500.0
2017-05-31,96900.0
2017-04-30,98800.0
2017-03-31,99000.0
2017-02-28,99000.0
2017-01-31,99500.0
2016-12-31,98900.0
2016-11-30,98000.0
2016-10-31,97800.0
2016-09-30,97300.0
2016-08-31,96100.0
2016-07-31,95800.0
2016-06-30,95900.0
2016-05-31,95300.0
2016-04-30,94600.0
2016-03-31,94400.0
2016-02-29,94700.0
2016-01-31,95300.0
2015-12-31,96400.0
2015-11-30,97000.0
2015-10-31,96100.0
2015-09-30,93700.0
2015-08-31,92100.0
2015-07-31,91800.0
2015-06-30,91000.0
2015-05-31,89700.0
2015-04-30,89500.0
2015-03-31,89800.0
2015-02-28,90300.0
2015-01-31,90100.0
2014-12-31,89800.0
2014-11-30,89600.0
2014-10-31,89800.0
2014-09-30,89300.0
2014-08-31,88900.0
2014-07-31,88900.0
2014-06-30,90200.0
2014-05-31,91100.0
2014-04-30,91600.0
2014-03-31,92500.0
2014-02-28,93800.0
2014-01-31,94400.0
2013-12-31,93800.0
2013-11-30,91800.0
2013-10-31,90200.0
2013-09-30,90100.0
2013-08-31,89600.0
2013-07-31,89100.0
2013-06-30,89000.0
2013-05-31,89300.0
2013-04-30,89300.0
2013-03-31,89000.0
2013-02-28,89700.0
2013-01-31,91500.0
2012-12-31,93600.0
2012-11-30,96300.0
2012-10-31,98200.0
2012-09-30,98600.0
2012-08-31,98700.0
2012-07-31,99600.0
2012-06-30,100900.0
2012-05-31,102800.0
2012-04-30,105000.0
2012-03-31,107800.0
2012-02-29,110800.0
2012-01-31,112700.0
2011-12-31,113500.0
2011-11-30,114000.0
2011-10-31,114900.0
2011-09-30,118400.0
2011-08-31,125200.0
2011-07-31,131400.0
2011-06-30,133200.0
2011-05-31,134100.0
2011-04-30,135000.0
2011-03-31,134200.0
2011-02-28,131500.0
2011-01-31,128800.0
2010-12-31,126600.0
2010-11-30,127000.0
2010-10-31,129700.0
2010-09-30,133200.0
2010-08-31,137300.0
2010-07-31,141700.0
2010-06-30,144200.0
2010-05-31,144100.0
2010-04-30,144400.0
2010-03-31,146100.0
2010-02-28,147400.0
2010-01-31,148600.0
2009-12-31,150500.0
2009-11-30,151600.0
2009-10-31,151000.0
2009-09-30,148100.0
2009-08-31,143100.0
2009-07-31,136900.0
2009-06-30,132100.0
2009-05-31,128600.0
2009-04-30,125200.0
2009-03-31,121500.0
2009-02-28,118100.0
2009-01-31,115000.0
2008-12-31,111800.0
2008-11-30,108200.0
2008-10-31,104400.0
2008-09-30,100500.0
2008-08-31,96400.0
2008-07-31,92900.0
2008-06-30,91000.0
2008-05-31,90300.0
2008-04-30,90100.0
2008-03-31,90300.0
2008-02-29,91200.0
2008-01-31,92800.0
2007-12-31,94700.0
2007-11-30,96800.0
2007-10-31,99000.0
2007-09-30,101200.0
2007-08-31,103300.0
2007-07-31,105300.0
